gee_point_id,lat,lon
dsp4sh_000001,26.30896,-98.202272
dsp4sh_000002,26.30907954,-98.20307
dsp4sh_000003,26.309166,-98.203663
dsp4sh_000004,26.358343,-97.857232
dsp4sh_000005,26.358388,-97.846311
dsp4sh_000006,26.36504,-97.85824
dsp4sh_000007,26.371559,-97.882158
dsp4sh_000008,26.37183,-97.86129
dsp4sh_000009,26.371856,-97.881485
dsp4sh_000010,26.372257,-97.860439
dsp4sh_000011,26.372348,-97.841816
dsp4sh_000012,26.372359,-97.854799
dsp4sh_000013,26.376803,-97.861285
dsp4sh_000014,26.378011,-97.894115
dsp4sh_000015,26.381147,-97.861396
dsp4sh_000016,26.387731,-97.852666
dsp4sh_000017,26.387833,-97.849146
dsp4sh_000018,26.389298,-97.852623
dsp4sh_000019,26.408107,-97.867819
dsp4sh_000020,26.408338,-97.877546
dsp4sh_000021,26.417867,-97.87736
dsp4sh_000022,26.423498,-97.878012
dsp4sh_000023,26.42575,-97.86555
dsp4sh_000024,26.425912,-97.863987
dsp4sh_000025,26.425936,-97.865571
dsp4sh_000026,26.428431,-97.876675
dsp4sh_000027,26.429164,-97.87775
dsp4sh_000028,26.440373,-97.81413
dsp4sh_000029,26.441954,-97.814157
dsp4sh_000030,26.442916,-97.814156
dsp4sh_000031,26.449237,-97.845711
dsp4sh_000032,26.451224,-97.842418
dsp4sh_000033,26.45138326,-97.84310718
dsp4sh_000034,32.060626,-102.406408
dsp4sh_000035,32.774177,-101.9472
dsp4sh_000036,32.774275,-101.946881
dsp4sh_000037,32.774988,-101.947051
dsp4sh_000038,32.775004,-101.947229
dsp4sh_000039,32.775007,-101.947399
dsp4sh_000040,32.775683,-101.947009
dsp4sh_000041,32.775734,-101.947185
dsp4sh_000042,32.775739,-101.94738
dsp4sh_000043,33.059817,-102.406791
dsp4sh_000044,33.060119,-102.406186
dsp4sh_000045,35.72451,-78.67194
dsp4sh_000046,35.72481,-78.67194
dsp4sh_000047,35.72511,-78.67194
dsp4sh_000048,35.72612,-78.66969
dsp4sh_000049,35.72619,-78.66952
dsp4sh_000050,35.72739,-78.67555
dsp4sh_000051,35.72765,-78.67525
dsp4sh_000052,35.72791,-78.67495
dsp4sh_000053,35.72865,-78.67452
dsp4sh_000054,35.72871,-78.67478
dsp4sh_000055,35.72877,-78.67504
dsp4sh_000056,35.73246,-78.67191
dsp4sh_000057,35.73285,-78.67204
dsp4sh_000058,35.73325,-78.67215
dsp4sh_000059,35.73409,-78.68048
dsp4sh_000060,35.73443,-78.68042
dsp4sh_000061,35.73477,-78.68036
dsp4sh_000062,35.73547,-78.6893
dsp4sh_000063,35.73571,-78.68135
dsp4sh_000064,35.73594,-78.68177
dsp4sh_000065,39.244626,-100.557271
dsp4sh_000066,39.2447102,-100.5427146
dsp4sh_000067,39.2447359,-100.5431538
dsp4sh_000068,39.2450134,-100.5430643
dsp4sh_000069,39.249205,-100.56165
dsp4sh_000070,39.3815262,-101.0632519
dsp4sh_000071,39.3816973,-101.0629297
dsp4sh_000072,39.3817794,-101.0631493
dsp4sh_000073,39.3840397,-101.0636425
dsp4sh_000074,39.384217,-101.063449
dsp4sh_000075,39.3843208,-101.0636022
dsp4sh_000076,39.865395,-88.799917
dsp4sh_000077,39.866062,-88.798131
dsp4sh_000078,39.868482,-88.798039
dsp4sh_000079,39.876683,-88.700021
dsp4sh_000080,39.878261,-88.705988
dsp4sh_000081,39.878541,-88.700776
dsp4sh_000082,39.895068,-88.745608
dsp4sh_000083,39.895384,-88.746645
dsp4sh_000084,39.895694,-88.743611
dsp4sh_000085,39.896889,-88.743611
dsp4sh_000086,39.898194,-88.743333
dsp4sh_000087,39.90146,-88.746587
dsp4sh_000088,39.92541,-88.027589
dsp4sh_000089,39.9254322,-88.0275783
dsp4sh_000090,39.9295,-88.0238
dsp4sh_000091,39.9519869,-100.89697
dsp4sh_000092,39.9521612,-100.8967806
dsp4sh_000093,39.9736474,-100.8692162
dsp4sh_000094,39.9737363,-100.8690184
dsp4sh_000095,39.9739409,-100.8692095
dsp4sh_000096,39.978288,-100.868944
dsp4sh_000097,39.9783659,-100.8687585
dsp4sh_000098,39.978452,-100.868986
dsp4sh_000099,40.0914285,-88.2159005
dsp4sh_000100,40.0916401,-88.216396
dsp4sh_000101,40.0918033,-88.2161899
dsp4sh_000102,41.7537778,-72.2351944
dsp4sh_000103,41.7537833,-72.23521667
dsp4sh_000104,41.7538,-72.2351833
dsp4sh_000105,41.7541111,-72.2346389
dsp4sh_000106,41.7541389,-72.2345833
dsp4sh_000107,41.797167,-72.22985
dsp4sh_000108,41.79725,-72.229722
dsp4sh_000109,41.797389,-72.2300556
dsp4sh_000110,41.7975278,-72.23025
dsp4sh_000111,41.7975833,-72.2303333
dsp4sh_000112,41.79775,-72.2305556
dsp4sh_000113,41.7995278,-72.188333
dsp4sh_000114,41.7995556,-72.18838889
dsp4sh_000115,41.800011,-72.189595
dsp4sh_000116,41.80006,-72.1895
dsp4sh_000117,41.8184333,-72.2388333
dsp4sh_000118,41.8184833,-72.23745
dsp4sh_000119,41.818491,-72.238939
dsp4sh_000120,41.8185,-72.2377833
dsp4sh_000121,41.8207833,-72.25135
dsp4sh_000122,41.821,-72.2543056
dsp4sh_000123,41.8216111,-72.2532778
dsp4sh_000124,41.82161667,-72.25333
dsp4sh_000125,41.9654722,-71.97463889
dsp4sh_000126,41.9655,-71.9745277
dsp4sh_000127,41.96552778,-71.9746667
dsp4sh_000128,41.96552778,-71.9745556
dsp4sh_000129,41.9655556,-71.9746667
dsp4sh_000130,43.74685,-92.8436
dsp4sh_000131,43.74685,-92.843
dsp4sh_000132,43.746867,-92.84265
dsp4sh_000133,43.746883,-92.84465
dsp4sh_000134,43.746883,-92.84395
dsp4sh_000135,43.7469,-92.8454
dsp4sh_000136,43.7469,-92.844333
dsp4sh_000137,43.7469,-92.84325
dsp4sh_000138,43.746917,-92.845067
dsp4sh_000139,43.747593,-92.844985
dsp4sh_000140,43.74768,-92.845294
dsp4sh_000141,43.747906,-92.845601
dsp4sh_000142,43.74855,-92.85374
dsp4sh_000143,43.74876,-92.85348
dsp4sh_000144,43.74893,-92.85419
dsp4sh_000145,43.74899,-92.85467
dsp4sh_000146,43.749,-92.85341
dsp4sh_000147,43.74922,-92.85453
dsp4sh_000148,43.74953,-92.85457
dsp4sh_000149,43.74981,-92.85499
dsp4sh_000150,43.74984,-92.85464
dsp4sh_000151,43.75034,-92.84078
dsp4sh_000152,43.750483,-92.84107
dsp4sh_000153,43.75062,-92.84134
dsp4sh_000154,43.75218,-92.843677
dsp4sh_000155,43.75222,-92.84329
dsp4sh_000156,43.752284,-92.842882
dsp4sh_000157,44.4316,-123.33503
dsp4sh_000158,44.4318,-123.33533
dsp4sh_000159,44.4319,-123.33523
dsp4sh_000160,44.6358175,-123.2974823
dsp4sh_000161,44.6361175,-123.2972812
dsp4sh_000162,44.6362175,-123.2973802
dsp4sh_000163,44.737333,-123.27107
dsp4sh_000164,44.737333,-123.27097
dsp4sh_000165,44.737633,-123.27077
dsp4sh_000166,44.74261,-123.41905
dsp4sh_000167,44.74261,-123.41895
dsp4sh_000168,44.74261,-123.41875
dsp4sh_000169,44.910077,-122.90889
dsp4sh_000170,44.910277,-122.90899
dsp4sh_000171,44.910377,-122.90909
dsp4sh_000172,44.918413,-123.355451
dsp4sh_000173,44.918514,-123.355451
dsp4sh_000174,44.918544,-123.355551
dsp4sh_000175,44.94815,-122.86259
dsp4sh_000176,44.94845,-122.86279
dsp4sh_000177,44.94855,-122.86289
dsp4sh_000178,44.950981,-122.856744
dsp4sh_000179,44.950981,-122.856644
dsp4sh_000180,44.950981,-122.856544
dsp4sh_000181,45.013834,-122.843042
dsp4sh_000182,45.014034,-122.842742
dsp4sh_000183,45.014134,-122.842842
dsp4sh_000184,45.037101,-123.130763
dsp4sh_000185,45.037101,-123.130563
dsp4sh_000186,45.037201,-123.130863
dsp4sh_000187,45.04987,-123.13718
dsp4sh_000188,45.04997,-123.13708
dsp4sh_000189,45.04997,-123.13688
dsp4sh_000190,45.07057,-123.21377
dsp4sh_000191,45.07067,-123.21367
dsp4sh_000192,45.07097,-123.21387
dsp4sh_000193,45.074334,-123.213616
dsp4sh_000194,45.074334,-123.213516
dsp4sh_000195,45.074334,-123.213416
dsp4sh_000196,45.1248,-123.06134
dsp4sh_000197,45.1251,-123.06201
dsp4sh_000198,45.1251,-123.06167
dsp4sh_000199,45.2278,-122.96961
dsp4sh_000200,45.2279,-122.96981
dsp4sh_000201,45.2279,-122.96961
dsp4sh_000202,45.231102,-122.964818
dsp4sh_000203,45.231202,-122.964718
dsp4sh_000204,45.231402,-122.964618
dsp4sh_000205,45.24882,-123.07126
dsp4sh_000206,45.24882,-123.07116
dsp4sh_000207,45.24912,-123.07096
dsp4sh_000208,45.250954,-123.049901
dsp4sh_000209,45.251054,-123.049801
dsp4sh_000210,45.251354,-123.049601
dsp4sh_000211,46.74504915,-117.4236809
dsp4sh_000212,46.74504916,-117.4236809
dsp4sh_000213,46.74504918,-117.4236807
dsp4sh_000214,46.74504922,-117.4236808
dsp4sh_000215,46.75739636,-117.1998969
dsp4sh_000216,46.75757137,-117.2000596
dsp4sh_000217,46.75757146,-117.20006
dsp4sh_000218,46.78188975,-117.0822114
dsp4sh_000219,46.788368,-117.4595978
dsp4sh_000220,46.78836813,-117.4595977
dsp4sh_000221,46.78836851,-117.4595972
